,iter_idx,sample_num,unq_num,actual_unq_num,repetition_num,next_rep_sample_num,sampling_time,max_amp,min_amp,sampled_prob,eval_amps_time,ipr,renorm_ipr,candidate_x_primes_num,sampled_unq_x_primes_num,sampled_x_primes_num,sampled_coupled_yz_num,non_sampled_unq_x_primes_num,non_sampled_x_primes_num,non_sampled_coupled_yz_num,candidates_time,filter_candidates_time,find_a_in_b_time,find_sampled_and_coupled_time,sampled_matrix_elements_time,sampled_scatter_time,non_sampled_matrix_elements_time,non_sampled_scatter_time,eval_non_sampled_amps_time,full_energy,sample_aware_energy,hf_proj_energy_real,hf_proj_energy_imag,full_hf_proj_energy_real,full_hf_proj_energy_imag,eval_loss_time,backward_time,sr_unq_num,sr_sampled_prob,sr_max_amp,sr_min_amp,sr_time,proc_grad_time,iter_time
20,20,(1+0j),10000,10000,1,10000,0.06951069831848145,(0.5585094385665836-0.09806293306550916j),(1.9901994475337496e-05-4.4610899592491834e-07j),0.4839490982680712,0.05710196495056152,0.1036558120787769,0.4425825517701536,,,59082,5043240,,,,,,,0.16453886032104492,0.06720352172851562,0.0009632110595703125,,,,,-85.16019686622607,-88.84292744788934,-0.13142576376065665,,,0.29061055183410645,0.055959463119506836,50,0.3961158524446955,(0.5585094385665836-0.09806293306550916j),(0.021333725606604226+0.0010889145608686734j),0.12207174301147461,0.12312579154968262,0.5500237941741943
21,21,(1.0000000000000004+0j),10000,10000,1,10000,0.06508731842041016,(0.609461642087326-0.14768840202019043j),(1.3049104625288168e-05-5.760638052204636e-07j),0.5544588612639998,0.0566248893737793,0.15491779030415848,0.5039212079124696,,,63432,5078566,,,,,,,0.17179179191589355,0.0708014965057373,0.0011401176452636719,,,,,-85.40500433264677,-88.82247666458888,-0.1378796184688587,,,0.3012254238128662,0.05977487564086914,50,0.4673656505605269,(0.609461642087326-0.14768840202019043j),(0.018654675872717637-0.009984303024694158j),0.12415361404418945,0.1252131462097168,0.5619726181030273
22,22,(0.9999999999999998+0j),10000,10000,1,10000,0.06598019599914551,(0.6536550100681909-0.19934027446428265j),(2.1614382232840638e-05+1.2567408960095802e-05j),0.6203125172747483,0.054969072341918945,0.21834773523289183,0.5674500020311383,,,66370,5099988,,,,,,,0.16848492622375488,0.06931257247924805,0.0009810924530029297,,,,,-85.63533778752138,-88.83340894995422,-0.1694243442811428,,,0.2945265769958496,0.05929899215698242,50,0.5384400060801764,(0.6536550100681909-0.19934027446428265j),(0.012300289079935037-0.01602141089936345j),0.12381672859191895,0.12487220764160156,0.5553562641143799
23,23,(1.0000000000000004+0j),10000,10000,1,10000,0.06595134735107422,(0.6984096806618089-0.2281333716275103j),(-1.3341852351947265e-05+1.1087056270643466e-05j),0.6818510329540852,0.05257248878479004,0.2916407035305463,0.6272911084992414,,,67471,5105624,,,,,,,0.16436290740966797,0.06844544410705566,0.0009772777557373047,,,,,-85.81901168943025,-88.8889986663783,-0.23781689613104232,,,0.2871568202972412,0.0581364631652832,50,0.6068222037408898,(0.6984096806618089-0.2281333716275103j),(0.006361979170362797+0.018412556393452417j),0.12186288833618164,0.12290763854980469,0.5534331798553467
24,24,(1+0j),10000,10000,1,10000,0.06378912925720215,(0.7527175051891369-0.2059408096370918j),(-2.22509067770318e-06+1.8543161811573294e-05j),0.738157972327111,0.05377840995788574,0.3710790159392398,0.6810323891558252,,,70976,5135408,,,,,,,0.16351914405822754,0.07075715065002441,0.0010251998901367188,,,,,-85.95294863925564,-88.794108351981,-0.1927112843854495,,,0.28986597061157227,0.059560537338256836,50,0.6704506339307166,(0.7527175051891369-0.2059408096370918j),(0.017982583637311762+0.004536945806049256j),0.12480616569519043,0.1258556842803955,0.5496549606323242
25,25,(0.9999999999999994+0j),10000,10000,1,10000,0.0661630630493164,(0.8051731731405624-0.15535766598974524j),(5.879807706204907e-06-5.669431777670932e-06j),0.787192621485496,0.053128719329833984,0.45234713824443623,0.7299780774746168,,,71661,5141198,,,,,,,0.15689325332641602,0.07276487350463867,0.0010290145874023438,,,,,-86.06609679113058,-88.7332124966678,-0.29566271825568874,,,0.28463101387023926,0.06297922134399414,50,0.7278513308425096,(0.8051731731405624-0.15535766598974524j),(0.017184771093110306-0.0005838858413797258j),0.12511372566223145,0.12615656852722168,0.5504176616668701
26,26,(0.9999999999999999+0j),10000,10000,1,10000,0.06432962417602539,(0.8319996339889909-0.19139234059735788j),(1.230395461121527e-05-6.044960149011476e-06j),0.8296683479956343,0.053618431091308594,0.53137058535352,0.7719487456865836,,,74754,5164434,,,,,,,0.16633319854736328,0.07096624374389648,0.0010886192321777344,,,,,-86.1437703559937,-88.78696039467835,-0.3393104745409248,,,0.292771577835083,0.05622577667236328,50,0.7782192547188534,(0.8319996339889909-0.19139234059735788j),(-0.0058528641018709+0.015021509628069668j),0.1221003532409668,0.12314844131469727,0.5471618175506592
27,27,(1.0000000000000002+0j),10000,10000,1,10000,0.0637052059173584,(0.8135041195392021-0.3404062356200425j),(-8.843504497565204e-06-5.232950414744316e-07j),0.8645921058616386,0.052565813064575195,0.6048790594554951,0.8091816357345757,,,74774,5169246,,,,,,,0.1682894229888916,0.07076120376586914,0.0011301040649414062,,,,,-86.21312557309929,-88.83643826569256,-0.2671308764712138,,,0.293597936630249,0.05734705924987793,50,0.8212931842999135,(0.8135041195392021-0.3404062356200425j),(0.005900212199187691+0.013665982748709159j),0.12334442138671875,0.12439417839050293,0.5496761798858643
28,28,(1.0000000000000004+0j),10000,10000,1,10000,0.07355475425720215,(0.7079811718835486-0.5636443483742507j),(4.51207916471881e-06-1.0646633451022057e-05j),0.8938408869663835,0.05857968330383301,0.6707441209235977,0.839530427966475,,,77424,5187618,,,,,,,0.17397856712341309,0.07209348678588867,0.0010271072387695312,,,,,-86.25633384454638,-88.80690363260972,-0.28112386121562255,,,0.30649256706237793,0.06147122383117676,50,0.8573382384414301,(0.7079811718835486-0.5636443483742507j),(0.01353877488825269-0.0023247131110238645j),0.13467741012573242,0.13589024543762207,0.5885965824127197
29,29,(0.9999999999999991+0j),10000,10000,1,10000,0.0721890926361084,(0.6090037564957627-0.6944522586522863j),(2.7152666575359247e-06+9.693466909456672e-06j),0.9174465198953183,0.05679035186767578,0.7279407286447914,0.8648374823251507,,,78099,5196096,,,,,,,0.16623759269714355,0.07270073890686035,0.0011625289916992188,,,,,-86.29874035115114,-88.81431033216748,-0.3904783841327246,,,0.29773378372192383,0.05690622329711914,50,0.886998421118879,(0.6090037564957627-0.6944522586522863j),(0.011435640250896795-0.0049945489969783j),0.12362957000732422,0.12468767166137695,0.5620665550231934
30,30,(0.9999999999999992+0j),10000,10000,1,10000,0.06478238105773926,(0.5218093044722334-0.7802345930686921j),(5.33399417278521e-06+3.6270721609384564e-06j),0.9359452673747773,0.052225351333618164,0.7763137931627748,0.8862094919583725,,,79792,5216416,,,,,,,0.17634224891662598,0.07360386848449707,0.0011668205261230469,,,,,-86.32115462344603,-88.8193970189211,-0.40517918614146603,,,0.3041853904724121,0.06190037727355957,50,0.9109594214455441,(0.5218093044722334-0.7802345930686921j),(-0.007230593645910448+0.008784498024765101j),0.12322115898132324,0.12428045272827148,0.5660886764526367
31,31,(1.0000000000000002+0j),10000,10000,1,10000,0.06611251831054688,(0.48018973962904266-0.8203041759017018j),(-3.822794691643948e-06-4.708050375260543e-06j),0.9506766271018499,0.054100751876831055,0.8163305340977909,0.903234271777068,,,81974,5227842,,,,,,,0.1652841567993164,0.07158899307250977,0.0011801719665527344,,,,,-86.34514520722988,-88.76785048102228,-0.38983973410049366,,,0.2930715084075928,0.06091570854187012,50,0.9300608214069959,(0.48018973962904266-0.8203041759017018j),(0.0019883181713534516-0.010176687729671483j),0.13457274436950684,0.1356525421142578,0.566380500793457
32,32,(1.0000000000000009+0j),10000,10000,1,10000,0.06397581100463867,(0.49825012582854494-0.8203678021793388j),(5.2871851008579145e-06-2.3243682334089623e-06j),0.961877431825167,0.05309772491455078,0.8487577739785553,0.9173694954456478,,,83163,5234846,,,,,,,0.15338826179504395,0.06885504722595215,0.001177072525024414,,,,,-86.36411037497966,-88.83116154436595,-0.3474091024319964,,,0.27729034423828125,0.06289887428283691,50,0.9450743783046618,(0.49825012582854494-0.8203678021793388j),(0.008867042030380183-0.0038325098291580456j),0.12329244613647461,0.12434148788452148,0.5478308200836182
33,33,(0.9999999999999999+0j),10000,10000,1,10000,0.0655660629272461,(0.535902333453304-0.8048643352783726j),(-3.8800515025678706e-07-3.847778719599659e-06j),0.9703971433066285,0.05070924758911133,0.8742591746569922,0.9284129291558403,,,84412,5247628,,,,,,,0.17890024185180664,0.07028460502624512,0.0011665821075439453,,,,,-86.37663533378958,-88.87413932660952,-0.39407714920086345,,,0.3018064498901367,0.056936025619506836,50,0.9566500042473429,(0.535902333453304-0.8048643352783726j),(-0.00217167524650648-0.008561717859936068j),0.12128639221191406,0.1223287582397461,0.5570354461669922
34,34,(0.9999999999999993+0j),10000,10000,1,10000,0.06487345695495605,(0.4734341981537074-0.849184000968187j),(-4.651604172542062e-06-7.171613048629187e-07j),0.9767998407192849,0.05259203910827637,0.8935377122995721,0.936486943136189,,,85782,5257994,,,,,,,0.1603984832763672,0.06986784934997559,0.0010843276977539062,,,,,-86.38832850766238,-88.87617191957507,-0.3619453161292055,,,0.28470587730407715,0.06052255630493164,50,0.9653186243622104,(0.4734341981537074-0.849184000968187j),(0.007038698073230965-0.004386421716267993j),0.13614153861999512,0.13721942901611328,0.5580339431762695
35,35,(1+0j),10000,10000,1,10000,0.0634455680847168,(0.35025249189479385-0.9109430326403661j),(-2.262766194749135e-06-6.248979377955822e-07j),0.9812907049421133,0.05286717414855957,0.9072759093324224,0.9422019725165838,,,86435,5266244,,,,,,,0.15572810173034668,0.06826972961425781,0.0010924339294433594,,,,,-86.39719095845138,-88.90474547368055,-0.3524616509146036,,,0.27872419357299805,0.05828261375427246,50,0.9715929588223167,(0.35025249189479385-0.9109430326403661j),(0.007249360207351407+0.002922492835674811j),0.12331318855285645,0.12437081336975098,0.5354671478271484
36,36,(1.0000000000000004+0j),10000,10000,1,10000,0.0637509822845459,(0.38065307451614766-0.90134006671597j),(2.680502415520951e-06+1.6551316382247998e-06j),0.9844806590319211,0.05296134948730469,0.9164737410723631,0.9455960493320613,,,87099,5267996,,,,,,,0.16792583465576172,0.07486701011657715,0.0011322498321533203,,,,,-86.40546077453621,-88.93080901628693,-0.3210468442173609,,,0.29767370223999023,0.062288522720336914,50,0.9760362234425467,(0.38065307451614766-0.90134006671597j),(0.005996060901357148+0.00434583213268352j),0.12351369857788086,0.12559080123901367,0.5599234104156494
37,37,(0.9999999999999998+0j),10000,10000,1,10000,0.062277793884277344,(0.4376540438487046-0.8767442011800277j),(-1.5194810122159737e-06-3.974613852696086e-06j),0.9867222556782692,0.053854942321777344,0.9220557314077213,0.9470378221979538,,,87937,5277996,,,,,,,0.15775775909423828,0.07495379447937012,0.0011870861053466797,,,,,-86.41356906874007,-88.94900173786517,-0.2872713605462389,,,0.2885899543762207,0.06149721145629883,50,0.9791338165160393,(0.4376540438487046-0.8767442011800277j),(0.004512800493625757+0.005451151559070458j),0.12392067909240723,0.12495589256286621,0.5477688312530518
38,38,(0.9999999999999999+0j),10000,10000,1,10000,0.06708025932312012,(0.46515308660333765-0.8632682272800255j),(3.5517496044420103e-06+1.201362972401916e-06j),0.9882860787843332,0.055922746658325195,0.9247060708276842,0.9467566257669154,,,88933,5282014,,,,,,,0.16751813888549805,0.07076883316040039,0.001176595687866211,,,,,-86.42080224489362,-88.95980308716226,-0.2712588133096479,,,0.2961909770965576,0.05753302574157715,50,0.9812465530925203,(0.46515308660333765-0.8632682272800255j),(-0.0013846633090696513+0.006731590470992081j),0.12270212173461914,0.12376284599304199,0.5553972721099854
39,39,(0.9999999999999998+0j),10000,10000,1,10000,0.06612062454223633,(0.4416708181985616-0.875556585997783j),(-2.0283455534867027e-06+5.497626781051644e-07j),0.9892811345922444,0.05431103706359863,0.9248506233868515,0.945000719446683,,,90316,5292652,,,,,,,0.14433717727661133,0.06789469718933105,0.0012788772583007812,,,,,-86.42947249482714,-88.99276935832012,-0.23138775461990754,,,0.2686290740966797,0.05817008018493652,50,0.9826391410305669,(0.4416708181985616-0.875556585997783j),(0.006086965400179312+0.002946683316243082j),0.12442469596862793,0.12548255920410156,0.5292484760284424
